M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
4,2,ind,4,22.044428,46.787870,231.317121,32.734286,0.035308,0.150001,,92,10
4,2,base,4,7.859747,10.830266,69.866008,7.990343,0.010351,0.078711,,66,10
4,2,APMM,5,10.696839,15.951218,211.199503,45.708771,0.019881,0.131431,,88,10
4,2,ind,5,34.870358,54.490755,350.022341,46.534342,0.064034,0.215666,,88,10
4,2,base,5,9.733828,13.095976,124.847084,11.294486,0.017451,0.122484,,64,10
4,2,APMM,6,0.282304,13.850380,171.339946,14.640998,0.021824,0.141757,,80,10
4,2,ind,6,3.338484,33.534910,235.225494,16.562534,0.040867,0.187012,,80,10
4,2,base,6,2.910795,7.101252,89.896933,2.991105,0.018020,0.124239,,60,10
4,2,APMM,7,3.163452,12.745848,186.193929,15.496379,0.018487,0.129621,,88,10
4,2,ind,7,3.622948,29.993773,255.026666,18.602926,0.046560,0.188621,,88,10
4,2,base,7,3.586689,7.020793,84.506589,3.065821,0.013857,0.111882,,64,10
4,2,APMM,8,8.065507,12.226435,213.014551,30.665787,0.022754,0.118160,,94,10
4,2,ind,8,17.450570,30.644132,275.599428,29.790194,0.045617,0.165241,,94,10
4,2,base,8,7.942051,9.167484,105.901631,7.380502,0.016685,0.095803,,67,10
4,2,APMM,9,3.326488,17.936164,154.202009,31.832597,0.012944,0.104402,,86,10
4,2,ind,9,14.760743,33.375539,214.669315,22.369142,0.031443,0.146347,,86,10
4,2,base,9,8.018330,10.386540,76.063166,7.150281,0.011610,0.093288,,63,10
4,2,APMM,10,12.429956,15.580578,187.099142,48.836805,0.020271,0.134387,,86,10
4,2,ind,10,40.168892,44.477195,278.178372,39.688359,0.045428,0.186011,,86,10
4,2,base,10,11.611571,12.011189,101.622886,11.826662,0.013992,0.109916,,63,10
4,2,APMM,11,7.258424,10.744177,200.336653,31.128081,0.013977,0.104292,,84,10
4,2,ind,11,30.137045,42.217916,293.780896,35.393536,0.045630,0.172749,,84,10
4,2,base,11,7.997472,9.431927,109.541980,7.699847,0.012126,0.098777,,62,10
4,2,APMM,12,3.974133,15.905981,184.216202,24.243868,0.024045,0.156326,,82,10
4,2,ind,12,12.932774,29.405605,234.631574,18.077988,0.039669,0.184325,,82,10
4,2,base,12,6.285161,8.443562,86.235325,4.743936,0.014436,0.119275,,61,10
4,2,APMM,13,28.247514,23.064597,233.352613,85.842351,0.024835,0.132882,,86,10
4,2,ind,13,64.893051,47.063922,365.973836,63.470943,0.058278,0.196606,,86,10
4,2,base,13,19.254785,13.036584,145.108918,19.758598,0.018439,0.112242,,63,10
4,2,APMM,14,-9.127038,17.699202,160.464227,10.748424,0.020291,0.132009,,92,10
4,2,ind,14,-14.263544,20.278230,206.547650,12.840436,0.032090,0.159722,,92,10
4,2,base,14,0.044276,1.436668,67.187211,0.101470,0.012501,0.097109,,66,10
4,2,APMM,15,1.043274,11.824580,133.392125,18.954529,0.010123,0.080984,,94,10
4,2,ind,15,9.098717,40.300036,192.519441,24.269337,0.025175,0.122328,,94,10
4,2,base,15,3.503483,8.846792,64.632390,4.586724,0.008792,0.072864,,67,10
4,2,APMM,16,19.301081,13.063088,217.134669,53.713908,0.022696,0.133950,,90,10
4,2,ind,16,47.537013,41.060481,342.649818,44.578558,0.053281,0.193704,,90,10
4,2,base,16,13.844411,11.988404,125.486596,13.290589,0.020054,0.127216,,65,10
4,2,APMM,17,-10.359103,20.126911,166.448312,16.959086,0.021527,0.131366,,88,10
4,2,ind,17,-7.156143,30.867634,192.352080,16.514062,0.028613,0.145017,,88,10
4,2,base,17,1.693254,6.111044,63.516947,1.963720,0.011843,0.088184,,64,10
4,2,APMM,18,-1.750323,14.165228,179.946040,14.050989,0.020721,0.132628,,98,10
4,2,ind,18,1.685500,19.766451,224.950746,8.803973,0.032254,0.149445,,98,10
4,2,base,18,2.245191,5.884437,63.428238,1.995756,0.009940,0.084666,,69,10
4,2,APMM,19,14.219258,20.278641,175.817138,49.436801,0.018547,0.118981,,86,10
4,2,ind,19,44.141441,37.644824,238.641053,33.662045,0.036483,0.160805,,86,10
4,2,base,19,14.341128,9.926770,87.532885,10.533981,0.015031,0.099689,,63,10
4,2,APMM,20,10.432292,17.776829,207.691465,53.189375,0.016620,0.107278,,86,10
4,2,ind,20,36.035313,51.596109,323.191675,51.454004,0.049013,0.171519,,86,10
4,2,base,20,10.867997,13.434640,118.556138,13.199029,0.014117,0.095457,,63,10
4,2,APMM,21,15.305845,17.436259,183.944732,54.071966,0.016001,0.111819,,88,10
4,2,ind,21,52.660258,47.166068,280.075473,49.541404,0.043188,0.166409,,88,10
4,2,base,21,14.085416,10.899774,102.869174,12.710818,0.011722,0.091900,,64,10
4,2,APMM,22,12.099461,13.488284,214.503940,40.879588,0.017713,0.116328,,86,10
4,2,ind,22,38.701784,47.147999,312.725447,43.225324,0.049624,0.196039,,86,10
4,2,base,22,10.558140,10.104508,123.343626,9.816543,0.016458,0.112859,,63,10
4,2,APMM,23,7.649533,15.711322,161.161792,39.375816,0.015549,0.101720,,80,10
